date,Global_active_power,Global_reactive_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,Voltage,Global_intensity,Sub_metering_remainder,month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU,dayofweek,dayofyear,dow_sin,dow_cos,doy_sin,doy_cos
2006-12-16,1209.176,34.922,0.0,546.0,4926.0,236.24376262626262,13.082828282828283,14680.933333333334,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,5,350,-0.9749279121818236,-0.2225209339563146,-0.2593382659754056,0.9657865518844574
2006-12-17,3390.46,226.006,2033.0,4187.0,13341.0,240.0870277777778,9.999027777777778,36946.666666666664,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,6,351,-0.7818314824680299,0.6234898018587334,-0.2426868445825954,0.9701046827361175
2006-12-18,2203.826,161.792,1063.0,2621.0,14018.0,241.23169444444446,6.421666666666667,19028.433333333334,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,0,352,0.0,1.0,-0.22596360824801906,0.974135744004672
2006-12-19,1666.194,150.942,839.0,7602.0,6197.0,241.9993125,4.926388888888889,13131.900000000001,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,1,353,0.7818314824680298,0.6234898018587336,-0.20917350564635637,0.9778785428342386
2006-12-20,2225.748,160.998,0.0,2648.0,14063.0,242.30806249999998,6.467361111111111,20384.800000000003,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,2,354,0.9749279121818236,-0.22252093395631434,-0.19232150523909483,0.9813319716704275
2006-12-21,1717.114,144.166,1765.0,2623.0,10421.0,241.0419027777778,5.028194444444445,13809.566666666666,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,3,355,0.43388373911755823,-0.900968867902419,-0.17541259380427843,0.9844950085880858
2006-12-22,2341.338,186.906,3151.0,350.0,11131.0,241.1845486111111,6.872916666666667,24390.300000000003,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,4,356,-0.433883739117558,-0.9009688679024191,-0.15845177496083632,0.9873667175937016
2006-12-23,4773.386,221.47,2669.0,425.0,14726.0,240.1360763888889,14.028055555555557,61736.433333333334,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,5,357,-0.9749279121818236,-0.2225209339563146,-0.14144406768794202,0.9899462489023779
2006-12-24,2550.012,149.9,1703.0,5082.0,6891.0,241.6874375,7.640416666666667,28824.199999999997,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,6,358,-0.7818314824680299,0.6234898018587334,-0.12439450483979998,0.9922328391893008
2006-12-25,2743.12,240.28,6620.0,1962.0,5795.0,243.39993055555558,7.951527777777779,31341.666666666664,2006-12-01,6.659999999999999,9.0,6.0,2.0,2.0,0,359,0.0,1.0,-0.10730813165636247,0.9942258118156161
